2018-19
FIRST TEAM

C: Dwight Howard, Orlando Magic
G: Kobe Bryant, Los Angeles Lakers
G: Derrick Rose, Chicago Bulls

SECOND TEAM

F: Pau Gasol, Los Angeles Lakers
F: Dirk Nowitzki, Dallas Mavericks
C: Amar'e Stoudemire, New York Knicks
G: Dwyane Wade, Miami Heat
G: Russell Westbrook, Oklahoma City Thunder

THIRD TEAM

F: LaMarcus Aldridge, Portland Trail Blazers
F: Zach Randolph, Memphis Grizzlies
C: Al Horford, Atlanta Hawks
G: Manu Ginobili, San Antonio Spurs
G: Chris Paul, New Orleans Hornets

2009-10
FIRST TEAM

F: Kevin Durant
F: LeBron James
C: Dwight Howard
G: Kobe Bryant
G: Dwyane Wade

SECOND TEAM

F: Carmelo Anthony
F: Dirk Nowitzki
C: Amar'e Stoudemire
G: Steve Nash
G: Deron Williams

THIRD TEAM

F: Tim Duncan
F: Pau Gasol
C: Andrew Bogut
G: Joe Johnson
G: Brandon Roy

2008-09
FIRST TEAM

F: Dirk Nowitzki
F: LeBron James
C: Dwight Howard
G: Kobe Bryant
G: Dwyane Wade

SECOND TEAM

F: Tim Duncan
F: Paul Pierce
C: Yao Ming
G: Chris Paul
G: Brandon Roy

THIRD TEAM

F: Carmelo Anthony
F: Pau Gasol
C: Shaquille O'Neal
G: Chauncey Billups
G: Tony Parker

2007-08
FIRST TEAM

F: Kevin Garnett
F: LeBron James
C: Dwight Howard
G: Kobe Bryant
G: Chris Paul

SECOND TEAM

F: Tim Duncan
F: Dirk Nowitzki
C: Amar'e Stoudemire
G: Steve Nash
G: Deron Williams

THIRD TEAM

F: Carlos Boozer
F: Paul Pierce
C: Yao Ming
G: Manu Ginobili
G: Tracy McGrady

2006-07
FIRST TEAM

F: Tim Duncan
F: Dirk Nowitzki
C: Amar'e Stoudemire
G: Kobe Bryant
G: Steve Nash

SECOND TEAM

F: Chris Bosh
F: LeBron James
C: Yao Ming
G: Gilbert Arenas
