                      Player    Year      2P     3P   eFG%    AST    BLK     FT      MP    ORB    DRB    TRB    STL     PTS     G  all_nba      prob
17999           Vince Carter  2005.0   105.0   19.0  0.442   61.0   15.0   50.0   608.0   28.0   38.0   66.0   25.0   317.0  20.0      0.0  0.000146
18000           Vince Carter  2005.0   464.0  108.0  0.505  266.0   33.0  317.0  2220.0   78.0  257.0  335.0   84.0  1569.0  57.0      0.0  0.187612
18016          Zach Randolph  2005.0   332.0    0.0  0.448   86.0   17.0  207.0  1603.0  142.0  300.0  442.0   34.0   871.0  46.0      0.0  0.001410
18172         Deron Williams  2006.0   248.0   91.0  0.478  359.0   17.0   95.0  2307.0   35.0  159.0  194.0   60.0   864.0  80.0      0.0  0.001014
18191            Dwyane Wade  2006.0   686.0   13.0  0.499  503.0   58.0  629.0  2892.0  107.0  323.0  430.0  146.0  2040.0  75.0      1.0  0.928641
18337           LeBron James  2006.0   748.0  127.0  0.515  521.0   66.0  601.0  3361.0   75.0  481.0  556.0  123.0  2478.0  79.0      1.0  0.960621
18409            Mike Miller  2006.0   216.0  138.0  0.557  200.0   27.0  168.0  2268.0   42.0  355.0  397.0   52.0  1014.0  74.0      0.0  0.000952
18508          Shane Battier  2006.0   238.0   65.0  0.540  136.0  114.0  147.0  2839.0  164.0  265.0  429.0   92.0   818.0  81.0      0.0  0.000804
18562           Vince Carter  2006.0   528.0  125.0  0.471  338.0   53.0  480.0  2906.0  135.0  327.0  462.0   94.0  1911.0  79.0      0.0  0.193110
18583          Zach Randolph  2006.0   520.0   16.0  0.443  144.0   14.0  245.0  2545.0  193.0  399.0  592.0   57.0  1333.0  74.0      0.0  0.000685
18723         Deron Williams  2007.0   412.0   82.0  0.494  745.0   13.0  227.0  2950.0   41.0  226.0  267.0   78.0  1297.0  80.0      0.0  0.022067
18740            Dwyane Wade  2007.0   451.0   21.0  0.502  384.0   62.0  432.0  1931.0   51.0  188.0  239.0  107.0  1397.0  51.0      1.0  0.761372
18889           LeBron James  2007.0   673.0   99.0  0.507  470.0   55.0  489.0  3190.0   83.0  443.0  526.0  125.0  2132.0  78.0      1.0  0.862753
18951            Mike Miller  2007.0   263.0  202.0  0.560  298.0   18.0  161.0  2740.0   52.0  326.0  378.0   54.0  1293.0  70.0      0.0  0.004076
19037          Shane Battier  2007.0   135.0  157.0  0.567  175.0   60.0   88.0  2988.0   67.0  271.0  338.0   79.0   829.0  82.0      0.0  0.000515
19090           Vince Carter  2007.0   570.0  156.0  0.503  393.0   30.0  462.0  3126.0  114.0  378.0  492.0   82.0  2070.0  82.0      0.0  0.660268
19106          Zach Randolph  2007.0   586.0   14.0  0.472  147.0   15.0  394.0  2425.0  199.0  489.0  688.0   53.0  1608.0  68.0      0.0  0.053691
19266         Deron Williams  2008.0   483.0   83.0  0.544  862.0   23.0  330.0  3059.0   34.0  209.0  243.0   90.0  1545.0  82.0      1.0  0.673135
19288            Dwyane Wade  2008.0   417.0   22.0  0.480  354.0   37.0  354.0  1954.0   45.0  169.0  214.0   87.0  1254.0  51.0      0.0  0.061090
19420           Kevin Durant  2008.0   528.0   59.0  0.451  192.0   75.0  391.0  2768.0   70.0  278.0  348.0   78.0  1624.0  80.0      0.0  0.010739
19449           LeBron James  2008.0   681.0  113.0  0.518  539.0   81.0  549.0  3027.0  133.0  459.0  592.0  138.0  2250.0  75.0      1.0  0.941256
19522            Mike Miller  2008.0   259.0  155.0  0.596  240.0   16.0  164.0  2474.0   51.0  416.0  467.0   35.0  1147.0  70.0      0.0  0.003205
19616          Shane Battier  2008.0   126.0  139.0  0.540  155.0   90.0   75.0  2907.0  131.0  276.0  407.0   77.0   744.0  80.0      0.0  0.000378
19685           Vince Carter  2008.0   489.0   98.0  0.494  389.0   33.0  350.0  2959.0  112.0  341.0  453.0   93.0  1622.0  76.0      0.0  0.285163
19702          Zach Randolph  2008.0   464.0   22.0  0.470  140.0   16.0  223.0  2244.0  184.0  526.0  710.0   59.0  1217.0  69.0      0.0  0.008004
19870         Deron Williams  2009.0   393.0   70.0  0.506  725.0   20.0  326.0  2505.0   24.0  171.0  195.0   73.0  1322.0  68.0      0.0  0.150067
19891            Dwyane Wade  2009.0   766.0   88.0  0.516  589.0  106.0  590.0  3048.0   89.0  309.0  398.0  173.0  2386.0  79.0      1.0  0.919694
20016           Kevin Durant  2009.0   564.0   97.0  0.510  205.0   53.0  452.0  2885.0   77.0  405.0  482.0   96.0  1871.0  74.0      0.0  0.223061
20039           LeBron James  2009.0   657.0  132.0  0.530  587.0   93.0  594.0  3054.0  106.0  507.0  613.0  137.0  2304.0  81.0      1.0  0.948948
20108            Mike Miller  2009.0   179.0   85.0  0.559  326.0   31.0  109.0  2356.0   73.0  410.0  483.0   30.0   722.0  73.0      0.0  0.000290
20186      Russell Westbrook  2009.0   401.0   35.0  0.414  435.0   16.0  349.0  2668.0  178.0  221.0  399.0  110.0  1256.0  82.0      0.0  0.002317
20204          Shane Battier  2009.0    54.0   91.0  0.538  137.0   54.0   55.0  2031.0   52.0  233.0  285.0   48.0   436.0  60.0      0.0  0.000238
20266           Vince Carter  2009.0   437.0  151.0  0.493  376.0   38.0  335.0  2946.0   74.0  336.0  410.0   82.0  1662.0  80.0      0.0  0.129529
20284          Zach Randolph  2009.0   383.0   32.0  0.494  103.0   16.0  179.0  1757.0  157.0  347.0  504.0   43.0  1041.0  50.0      0.0  0.007146
20285          Zach Randolph  2009.0    75.0    7.0  0.452   15.0    3.0   55.0   388.0   40.0   97.0  137.0   13.0   226.0  11.0      0.0  0.000168
20286          Zach Randolph  2009.0   308.0   25.0  0.505   88.0   13.0  124.0  1369.0  117.0  250.0  367.0   30.0   815.0  39.0      0.0  0.000333
20441         Deron Williams  2010.0   398.0   96.0  0.515  798.0   16.0  335.0  2802.0   50.0  253.0  303.0   96.0  1419.0  76.0      1.0  0.817958
20462            Dwyane Wade  2010.0   646.0   73.0  0.500  501.0   82.0  534.0  2792.0  107.0  266.0  373.0  142.0  2045.0  77.0      1.0  0.943105
20607           Kevin Durant  2010.0   666.0  128.0  0.514  231.0   84.0  756.0  3239.0  105.0  518.0  623.0  112.0  2472.0  82.0      1.0  0.940942
20632           LeBron James  2010.0   639.0  129.0  0.545  651.0   77.0  593.0  2966.0   71.0  483.0  554.0  125.0  2258.0  76.0      1.0  0.981945
20689            Mike Miller  2010.0   135.0   82.0  0.596  212.0   12.0   70.0  1805.0   55.0  281.0  336.0   39.0   586.0  54.0      0.0  0.000375
20770      Russell Westbrook  2010.0   462.0   23.0  0.428  652.0   34.0  329.0  2813.0  143.0  258.0  401.0  108.0  1322.0  82.0      0.0  0.009137
20789          Shane Battier  2010.0    77.0  101.0  0.511  164.0   76.0   77.0  2168.0   74.0  238.0  312.0   53.0   534.0  67.0      0.0  0.000273
20852           Vince Carter  2010.0   315.0  119.0  0.486  236.0   18.0  257.0  2310.0   33.0  260.0  293.0   53.0  1244.0  75.0      0.0  0.003460
20864          Zach Randolph  2010.0   637.0   15.0  0.494  149.0   34.0  362.0  3051.0  330.0  620.0  950.0   80.0  1681.0  81.0      0.0  0.087751
21029         Deron Williams  2011.0   323.0  105.0  0.493  667.0   15.0  348.0  2465.0   40.0  220.0  260.0   79.0  1309.0  65.0      0.0  0.090600
21030         Deron Williams  2011.0   280.0   89.0  0.513  514.0   12.0  302.0  2009.0   32.0  173.0  205.0   64.0  1129.0  53.0      0.0  0.034584
21031         Deron Williams  2011.0    43.0   16.0  0.396  153.0    3.0   46.0   456.0    8.0   47.0   55.0   15.0   180.0  12.0      0.0  0.000179
21053            Dwyane Wade  2011.0   629.0   63.0  0.523  346.0   87.0  494.0  2823.0  123.0  362.0  485.0  111.0  1941.0  76.0      1.0  0.900803
21219           Kevin Durant  2011.0   566.0  145.0  0.509  214.0   76.0  594.0  3038.0   57.0  476.0  533.0   88.0  2161.0  78.0      1.0  0.853693
21248           LeBron James  2011.0   666.0   92.0  0.541  554.0   50.0  503.0  3063.0   80.0  510.0  590.0  124.0  2111.0  79.0      1.0  0.937691
21309            Mike Miller  2011.0    38.0   43.0  0.507   51.0    2.0   23.0   838.0   38.0  146.0  184.0   20.0   228.0  41.0      0.0  0.000131
21389      Russell Westbrook  2011.0   580.0   34.0  0.454  670.0   30.0  531.0  2847.0  121.0  258.0  379.0  155.0  1793.0  82.0      1.0  0.703095
21409          Shane Battier  2011.0   127.0  102.0  0.550  185.0   81.0   64.0  2375.0   90.0  283.0  373.0   69.0   624.0  82.0      0.0  0.000283
21410          Shane Battier  2011.0    98.0   88.0  0.564  153.0   71.0   49.0  1818.0   58.0  223.0  281.0   53.0   509.0  59.0      0.0  0.000461
21411          Shane Battier  2011.0    29.0   14.0  0.495   32.0   10.0   15.0   557.0   32.0   60.0   92.0   16.0   115.0  23.0      0.0  0.000140
21471           Vince Carter  2011.0   273.0  116.0  0.502  146.0   20.0  128.0  2051.0   54.0  221.0  275.0   67.0  1022.0  73.0      0.0  0.000208
21472           Vince Carter  2011.0    98.0   27.0  0.521   64.0    3.0   56.0   664.0   11.0   79.0   90.0   20.0   333.0  22.0      0.0  0.000141
21473           Vince Carter  2011.0   175.0   89.0  0.494   82.0   17.0   72.0  1387.0   43.0  142.0  185.0   47.0   689.0  51.0      0.0  0.000114
21489          Zach Randolph  2011.0   590.0    8.0  0.507  163.0   25.0  300.0  2724.0  326.0  588.0  914.0   63.0  1504.0  75.0      1.0  0.637166
21633         Deron Williams  2012.0   276.0  115.0  0.467  481.0   20.0  257.0  1999.0   23.0  160.0  183.0   67.0  1154.0  55.0      0.0  0.092199
21653            Dwyane Wade  2012.0   401.0   15.0  0.506  225.0   63.0  235.0  1625.0   73.0  164.0  237.0   82.0  1082.0  49.0      1.0  0.064904
21809           Kevin Durant  2012.0   510.0  133.0  0.547  231.0   77.0  431.0  2546.0   40.0  487.0  527.0   88.0  1850.0  66.0      1.0  0.930072
21836           LeBron James  2012.0   567.0   54.0  0.554  387.0   50.0  387.0  2326.0   94.0  398.0  492.0  115.0  1683.0  62.0      1.0  0.947116
21890            Mike Miller  2012.0    38.0   53.0  0.562   42.0    6.0    2.0   752.0   22.0  106.0  128.0   14.0   237.0  39.0      0.0  0.000135
21955      Russell Westbrook  2012.0   516.0   62.0  0.481  362.0   21.0  340.0  2331.0   96.0  205.0  301.0  112.0  1558.0  66.0      1.0  0.747100
21974          Shane Battier  2012.0    51.0   62.0  0.493   82.0   33.0   23.0  1499.0   56.0  100.0  156.0   64.0   311.0  65.0      0.0  0.000144
22028           Vince Carter  2012.0   149.0   74.0  0.480  139.0   25.0   95.0  1542.0   32.0  173.0  205.0   56.0   615.0  61.0      0.0  0.000149
22041          Zach Randolph  2012.0   130.0    2.0  0.467   48.0    4.0   58.0   735.0   78.0  147.0  225.0   21.0   324.0  28.0      0.0  0.000161
22179         Deron Williams  2013.0   326.0  169.0  0.516  604.0   30.0  317.0  2842.0   29.0  203.0  232.0   75.0  1476.0  78.0      0.0  0.189351
22206            Dwyane Wade  2013.0   552.0   17.0  0.528  352.0   56.0  308.0  2391.0   86.0  258.0  344.0  128.0  1463.0  69.0      1.0  0.823125
22374           Kevin Durant  2013.0   592.0  139.0  0.559  374.0  105.0  679.0  3119.0   46.0  594.0  640.0  116.0  2280.0  81.0      1.0  0.928231
22407           LeBron James  2013.0   662.0  103.0  0.603  551.0   67.0  403.0  2877.0   97.0  513.0  610.0  129.0  2036.0  76.0      1.0  0.912686
22461            Mike Miller  2013.0    27.0   73.0  0.591   99.0    4.0    8.0   900.0   18.0  139.0  157.0   21.0   281.0  59.0      0.0  0.000142
22526      Russell Westbrook  2013.0   576.0   97.0  0.470  607.0   24.0  460.0  2861.0  111.0  317.0  428.0  145.0  1903.0  82.0      1.0  0.859838
22538          Shane Battier  2013.0    16.0  136.0  0.608   72.0   55.0   32.0  1786.0   37.0  128.0  165.0   41.0   472.0  72.0      0.0  0.000362
22601           Vince Carter  2013.0   210.0  162.0  0.530  194.0   44.0  182.0  2093.0   58.0  276.0  334.0   74.0  1088.0  81.0      0.0  0.000549
22614          Zach Randolph  2013.0   469.0    2.0  0.461  108.0   31.0  225.0  2607.0  310.0  544.0  854.0   61.0  1169.0  76.0      0.0  0.005416
22765         Deron Williams  2014.0   224.0   98.0  0.518  392.0   13.0  173.0  2059.0   15.0  153.0  168.0   93.0   915.0  64.0      0.0  0.001296
22789            Dwyane Wade  2014.0   406.0    9.0  0.551  252.0   29.0  189.0  1775.0   60.0  181.0  241.0   79.0  1028.0  54.0      0.0  0.001609
